Data,Indicador,Valor
2008-12-01,IPCA,0.28
2008-12-01,SELIC,1.12
2009-01-01,IPCA,0.48
2009-01-01,SELIC,1.05
2009-02-01,IPCA,0.55
2009-02-01,SELIC,0.86
2009-03-01,IPCA,0.2
2009-03-01,SELIC,0.97
2009-04-01,IPCA,0.48
2009-04-01,SELIC,0.84
2009-05-01,IPCA,0.47
2009-05-01,SELIC,0.77
2009-06-01,IPCA,0.36
2009-06-01,SELIC,0.76
2009-07-01,IPCA,0.24
2009-07-01,SELIC,0.79
2009-08-01,IPCA,0.15
2009-08-01,SELIC,0.69
2009-09-01,IPCA,0.24
2009-09-01,SELIC,0.69
2009-10-01,IPCA,0.28
2009-10-01,SELIC,0.69
2009-11-01,IPCA,0.41
2009-11-01,SELIC,0.66
2009-12-01,IPCA,0.37
2009-12-01,SELIC,0.73
2010-01-01,IPCA,0.75
2010-01-01,SELIC,0.66
2010-02-01,IPCA,0.78
2010-02-01,SELIC,0.59
2010-03-01,IPCA,0.52
2010-03-01,SELIC,0.76
2010-04-01,IPCA,0.57
2010-04-01,SELIC,0.67
2010-05-01,IPCA,0.43
2010-05-01,SELIC,0.75
2010-06-01,IPCA,0
2010-06-01,SELIC,0.79
2010-07-01,IPCA,0.01
2010-07-01,SELIC,0.86
2010-08-01,IPCA,0.04
2010-08-01,SELIC,0.89
2010-09-01,IPCA,0.45
2010-09-01,SELIC,0.85
2010-10-01,IPCA,0.75
2010-10-01,SELIC,0.81
2010-11-01,IPCA,0.83
2010-11-01,SELIC,0.81
2010-12-01,IPCA,0.63
2010-12-01,SELIC,0.93
2011-01-01,IPCA,0.83
2011-01-01,SELIC,0.86
2011-02-01,IPCA,0.8
2011-02-01,SELIC,0.84
2011-03-01,IPCA,0.79
2011-03-01,SELIC,0.92
2011-04-01,IPCA,0.77
2011-04-01,SELIC,0.84
2011-05-01,IPCA,0.47
2011-05-01,SELIC,0.99
2011-06-01,IPCA,0.15
2011-06-01,SELIC,0.96
2011-07-01,IPCA,0.16
2011-07-01,SELIC,0.97
2011-08-01,IPCA,0.37
2011-08-01,SELIC,1.07
2011-09-01,IPCA,0.53
2011-09-01,SELIC,0.94
2011-10-01,IPCA,0.43
2011-10-01,SELIC,0.88
2011-11-01,IPCA,0.52
2011-11-01,SELIC,0.86
2011-12-01,IPCA,0.5
2011-12-01,SELIC,0.91
2012-01-01,IPCA,0.56
2012-01-01,SELIC,0.89
2012-02-01,IPCA,0.45
2012-02-01,SELIC,0.75
2012-03-01,IPCA,0.21
2012-03-01,SELIC,0.82
2012-04-01,IPCA,0.64
2012-04-01,SELIC,0.71
2012-05-01,IPCA,0.36
2012-05-01,SELIC,0.74
2012-06-01,IPCA,0.08
2012-06-01,SELIC,0.64
2012-07-01,IPCA,0.43
2012-07-01,SELIC,0.68
2012-08-01,IPCA,0.41
2012-08-01,SELIC,0.69
2012-09-01,IPCA,0.57
2012-09-01,SELIC,0.54
2012-10-01,IPCA,0.59
